Case ID,External Case ID,Tags,Name,Organization,Entity,# Total Machines,# Recent Machines,# Approved Machines,First Event,Last Event,Case Tier,Case Investigators,Investigation Status,Data Score,Website,Industry,Actionable Domain,Region,Country,Source Status,Automation Status,Investigation Status Last Updated At,Created,Updated,custom_fields.NNS Potential,custom_fields.NNS_Potential
790084,993450#1,"Mexico, LATAM",Codetec,Codetec,,1,1,0,2018-07-23 04:16 PM ,2023-06-08 05:38 PM ,2,,,4,,,,,,,APPROVABLE,,2023-07-05 04:07 PM ,2026-03-17 07:33 AM ,,
4040267,992712#1,"Mexico, LATAM",nicolas pelaez,nicolas pelaez,,1,1,0,2018-07-14 07:55 PM ,2023-04-26 05:12 PM ,2,,,4,,,,,,,APPROVABLE,,2024-04-25 07:29 PM ,2026-03-17 07:33 AM ,,
4043178,993610#1,"Mexico, LATAM",CDECASA,CDECASA,,2,2,0,2018-03-29 12:04 AM ,2023-08-29 07:47 PM ,3,,,4,,,,,,,APPROVABLE,,2024-04-25 07:56 PM ,2026-03-17 07:33 AM ,,
4059116,993451#1,"Mexico, LATAM",Lvbpconstruction,Lvbpconstruction,,2,2,0,2018-07-24 08:09 PM ,2024-10-20 01:09 AM ,2,,,8,,,,,,,APPROVABLE,,2024-04-25 09:56 PM ,2026-03-17 07:33 AM ,,
4050918,991295#1,"Mexico, LATAM",Crdesigncontruction,Crdesigncontruction,,1,1,0,2018-07-26 10:32 PM ,2023-12-04 09:37 PM ,2,,,4,,,,,,,APPROVABLE,,2024-04-25 08:46 PM ,2026-03-17 07:32 AM ,,
68709,992545#1,"Mexico, LATAM",Ansina,Ansina,,1,1,0,2018-07-09 05:28 PM ,2023-06-02 10:26 PM ,2,,,4,,,,,,,APPROVABLE,,2023-03-25 06:28 PM ,2026-03-17 07:32 AM ,,
68716,991350#1,"Mexico, LATAM",Ramon Mayorquin Castillo,Ramon Mayorquin Castillo,,2,2,0,2018-07-14 06:38 PM ,2023-10-06 02:05 AM ,2,,,8,,,,,,,APPROVABLE,,2023-03-25 06:28 PM ,2026-03-17 07:32 AM ,,
68713,992043#1,"Mexico, LATAM",Alejandro Roman Villalobos,Alejandro Roman Villalobos,,1,1,0,2018-07-11 06:42 PM ,2025-05-26 11:59 PM ,2,,,4,,,,,,,APPROVABLE,,2023-03-25 06:28 PM ,2026-03-17 07:32 AM ,,
68715,991441#1,"Mexico, LATAM",Calentadores,Calentadores,,1,1,0,2018-07-30 05:07 PM ,2023-11-20 02:12 PM ,2,,,4,,,,,,,APPROVABLE,,2023-03-25 06:28 PM ,2026-03-17 07:32 AM ,,
68708,992594#1,"Mexico, LATAM",Oscar Daniel Arzate Contreras,Oscar Daniel Arzate Contreras,,1,1,0,2018-07-11 11:28 PM ,2025-06-06 09:11 PM ,2,,,4,,,,,,,APPROVABLE,,2023-03-25 06:28 PM ,2026-03-17 07:32 AM ,,
4051261,992602#1,"Mexico, LATAM",People Trabajo Temporal,People Trabajo Temporal,,1,1,0,2018-07-17 09:26 PM ,2024-02-05 05:40 PM ,2,,,4,,,,,,,APPROVABLE,,2024-04-25 08:49 PM ,2026-03-17 07:32 AM ,,
810455,992295#1,"Brazil, Mexico, LATAM","Seguridad Industrial Amigo, S.A. de C.V.","Seguridad Industrial Amigo, S.A. de C.V.",,1,1,0,2018-07-23 03:01 PM ,2023-07-19 05:30 PM ,2,,,4,,,,,,,APPROVABLE,,2023-07-05 04:08 PM ,2026-03-17 07:32 AM ,,
780919,991699#1,"Brazil, Mexico, LATAM",Royal Villas Resort,Royal Villas Resort,,1,1,0,2018-07-22 03:10 AM ,2023-08-08 11:48 PM ,1,,,7,,,,,,,APPROVABLE,,2023-07-05 04:06 PM ,2026-03-17 07:32 AM ,,
4041531,991744#1,"Mexico, LATAM","Fundacion Bringas Haghenbeck, I.A.P.","Fundacion Bringas Haghenbeck, I.A.P.",,1,1,0,2018-07-16 02:34 AM ,2025-05-24 09:49 PM ,2,,,4,,,,,,,APPROVABLE,,2024-04-25 07:40 PM ,2026-03-17 07:32 AM ,,
4040626,991781#1,"Mexico, LATAM",Entornotaller,Entornotaller,,1,1,0,2018-08-01 12:15 AM ,2023-06-08 01:47 AM ,2,,,4,,,,,,,APPROVABLE,,2024-04-25 07:31 PM ,2026-03-17 07:32 AM ,,
6783744,992302#1,"LATAM, Nicaragua",Euroarredo,Euroarredo,,1,1,0,2018-06-07 05:25 PM ,2024-09-26 09:49 PM ,2,,,4,,,,,,,APPROVABLE,,2024-12-19 03:34 PM ,2026-03-17 07:32 AM ,,
68720,991028#2,"Mexico, LATAM","Irmeq Internacional, S.A. De C.V.","Irmeq Internacional, S.A. De C.V.",,1,1,0,2019-10-10 07:41 PM ,2024-09-26 05:45 PM ,2,,,4,,,,,,,APPROVABLE,,2023-03-25 06:28 PM ,2026-03-17 07:31 AM ,,
